id_port,nom_port,nom_formel,code_iso2_pays,latitude,longitude,taille_port,type_port,capacite_max_navire
57840,Hong Kong,Port of Hong Kong,HK,22.26667,114.2,Large,Coastal Natural,Under 500'
57857,Yantian,Port of Yantian,CN,22.58333,114.26667,Small,Coastal Natural,Under 500'
59940,Ningbo,Port of Ningbo,CN,29.88333,121.55,Small,River Natural,Over 500'
59970,Shanghai,Port of Shanghai,CN,31.21667,121.5,Large,River Natural,Under 500'
60320,Inchon,Port of Inchon,KR,37.46667,126.61667,Large,River Basin,Under 500'
60376,Gwangyang Hang,Port of Gwangyang Hang,KR,34.85,127.8,Medium,Coastal Natural,Over 500'
60390,Pusan,Port of Pusan,KR,35.1,129.03333,Large,Coastal Breakwater,Over 500'
61380,Tokyo Ko,Port of Tokyo Ko,JP,35.66667,139.75,Large,Coastal Natural,Over 500'
61390,Yokohama Ko,Port of Yokohama Ko,JP,35.45,139.58333,Large,Coastal Breakwater,Over 500'
61550,Osaka,Port of Osaka,JP,34.65,135.43333,Large,Coastal Breakwater,Over 500'
61560,Kobe,Port of Kobe,JP,34.65,135.18333,Large,Open Roadstead,Over 500'
